gene_id	symbol	gene_type	ncbi_ortholog_count	has_ncbi_ortholog
72	ACTG2	protein-coding	475	true
73	ACTG1P1	pseudo	0	false
74	ACTG1P2	pseudo	0	false
75	ACTG1P3	pseudo	0	false
81	ACTN4	protein-coding	451	true
82	ACTG1P9	pseudo	0	false
83	ACTG1P10	pseudo	0	false
86	ACTL6A	protein-coding	831	true
87	ACTN1	protein-coding	538	true
88	ACTN2	protein-coding	542	true
89	ACTN3	protein-coding	366	true
90	ACVR1	protein-coding	556	true
91	ACVR1B	protein-coding	541	true
92	ACVR2A	protein-coding	560	true
93	ACVR2B	protein-coding	724	true
94	ACVRL1	protein-coding	813	true
95	ACY1	protein-coding	497	true
97	ACYP1	protein-coding	787	true
98	ACYP2	protein-coding	670	true
100	ADA	protein-coding	835	true
101	ADAM8	protein-coding	475	true
102	ADAM10	protein-coding	854	true
103	ADAR	protein-coding	848	true
104	ADARB1	protein-coding	559	true
105	ADARB2	protein-coding	855	true
107	ADCY1	protein-coding	711	true
108	ADCY2	protein-coding	793	true
109	ADCY3	protein-coding	806	true
111	ADCY5	protein-coding	846	true
112	ADCY6	protein-coding	621	true
113	ADCY7	protein-coding	855	true
114	ADCY8	protein-coding	864	true
115	ADCY9	protein-coding	699	true
116	ADCYAP1	protein-coding	538	true
117	ADCYAP1R1	protein-coding	530	true
118	ADD1	protein-coding	864	true
119	ADD2	protein-coding	808	true
120	ADD3	protein-coding	843	true
123	PLIN2	protein-coding	769	true
124	ADH1A	protein-coding	0	false
125	ADH1B	protein-coding	9	true
126	ADH1C	protein-coding	51	true
127	ADH4	protein-coding	128	true
128	ADH5	protein-coding	152	true
130	ADH6	protein-coding	55	true
131	ADH7	protein-coding	110	true
132	ADK	protein-coding	563	true
133	ADM	protein-coding	816	true
134	ADORA1	protein-coding	503	true
135	ADORA2A	protein-coding	814	true
136	ADORA2B	protein-coding	543	true
137	ADORA2BP1	pseudo	0	false
140	ADORA3	protein-coding	385	true
141	ADPRH	protein-coding	802	true
142	PARP1	protein-coding	875	true
143	PARP4	protein-coding	677	true
144	PARP1P1	pseudo	0	false
145	PARP1P2	pseudo	0	false
146	ADRA1D	protein-coding	832	true
147	ADRA1B	protein-coding	505	true
148	ADRA1A	protein-coding	829	true
150	ADRA2A	protein-coding	855	true
151	ADRA2B	protein-coding	455	true
152	ADRA2C	protein-coding	813	true
153	ADRB1	protein-coding	838	true
154	ADRB2	protein-coding	818	true
155	ADRB3	protein-coding	489	true
156	GRK2	protein-coding	493	true
157	GRK3	protein-coding	818	true
158	ADSL	protein-coding	858	true
159	ADSS2	protein-coding	806	true
160	AP2A1	protein-coding	347	true
161	AP2A2	protein-coding	541	true
162	AP1B1	protein-coding	836	true
163	AP2B1	protein-coding	787	true
164	AP1G1	protein-coding	856	true
165	AEBP1	protein-coding	532	true
166	TLE5	protein-coding	775	true
167	CRISP1	protein-coding	231	true
172	AFG3L1P	pseudo	0	false
173	AFM	protein-coding	237	true
174	AFP	protein-coding	263	true
175	AGA	protein-coding	863	true
176	ACAN	protein-coding	552	true
177	AGER	protein-coding	269	true
178	AGL	protein-coding	562	true
181	AGRP	protein-coding	544	true
182	JAG1	protein-coding	564	true
183	AGT	protein-coding	864	true
185	AGTR1	protein-coding	579	true
186	AGTR2	protein-coding	734	true
187	APLNR	protein-coding	503	true
189	AGXT	protein-coding	558	true
190	NR0B1	protein-coding	524	true
191	AHCY	protein-coding	855	true
196	AHR	protein-coding	549	true
197	AHSG	protein-coding	541	true
199	AIF1	protein-coding	341	true
202	CRYBG1	protein-coding	542	true
203	AK1	protein-coding	814	true
204	AK2	protein-coding	864	true
205	AK4	protein-coding	844	true
206	AK4P1	pseudo	0	false
207	AKT1	protein-coding	838	true
208	AKT2	protein-coding	712	true
210	ALAD	protein-coding	870	true
211	ALAS1	protein-coding	836	true
212	ALAS2	protein-coding	348	true
213	ALB	protein-coding	369	true
214	ALCAM	protein-coding	786	true
215	ABCD1	protein-coding	611	true
216	ALDH1A1	protein-coding	502	true
217	ALDH2	protein-coding	547	true
218	ALDH3A1	protein-coding	231	true
219	ALDH1B1	protein-coding	289	true
220	ALDH1A3	protein-coding	814	true
221	ALDH3B1	protein-coding	578	true
222	ALDH3B2	protein-coding	82	true
223	ALDH9A1	protein-coding	558	true
224	ALDH3A2	protein-coding	416	true
225	ABCD2	protein-coding	711	true
226	ALDOA	protein-coding	415	true
228	ALDOAP2	pseudo	0	false
229	ALDOB	protein-coding	500	true
230	ALDOC	protein-coding	835	true
231	AKR1B1	protein-coding	207	true
236	AKR1B1P2	pseudo	0	false
238	ALK	protein-coding	526	true
239	ALOX12	protein-coding	203	true
240	ALOX5	protein-coding	796	true
241	ALOX5AP	protein-coding	839	true
242	ALOX12B	protein-coding	221	true
243	ALOX12P1	pseudo	0	false
245	ALOX12P2	pseudo	0	false
246	ALOX15	protein-coding	152	true
247	ALOX15B	protein-coding	174	true
248	ALPI	protein-coding	172	true
249	ALPL	protein-coding	808	true
250	ALPP	protein-coding	8	true
251	ALPG	protein-coding	3	true
257	ALX3	protein-coding	733	true
258	AMBN	protein-coding	348	true
259	AMBP	protein-coding	674	true
262	AMD1	protein-coding	866	true
263	AMD1P2	pseudo	0	false
265	AMELX	protein-coding	323	true
266	AMELY	protein-coding	9	true
267	AMFR	protein-coding	695	true
268	AMH	protein-coding	846	true
269	AMHR2	protein-coding	472	true
270	AMPD1	protein-coding	854	true
271	AMPD2	protein-coding	537	true
272	AMPD3	protein-coding	558	true
273	AMPH	protein-coding	779	true
274	BIN1	protein-coding	559	true
275	AMT	protein-coding	853	true
276	AMY1A	protein-coding	2	true
277	AMY1B	protein-coding	0	false
278	AMY1C	protein-coding	0	false
279	AMY2A	protein-coding	20	true
280	AMY2B	protein-coding	31	true
281	AMYP1	pseudo	0	false
283	ANG	protein-coding	221	true
284	ANGPT1	protein-coding	828	true
285	ANGPT2	protein-coding	851	true
286	ANK1	protein-coding	525	true
287	ANK2	protein-coding	756	true
288	ANK3	protein-coding	663	true
290	ANPEP	protein-coding	521	true
291	SLC25A4	protein-coding	859	true
292	SLC25A5	protein-coding	807	true
293	SLC25A6	protein-coding	405	true
301	ANXA1	protein-coding	802	true
302	ANXA2	protein-coding	543	true
303	ANXA2P1	pseudo	0	false
304	ANXA2P2	pseudo	0	false
305	ANXA2P3	pseudo	0	false
306	ANXA3	protein-coding	573	true
307	ANXA4	protein-coding	831	true
308	ANXA5	protein-coding	555	true
309	ANXA6	protein-coding	851	true
310	ANXA7	protein-coding	554	true
311	ANXA11	protein-coding	553	true
312	ANXA13	protein-coding	790	true
313	AOAH	protein-coding	544	true
314	AOC2	protein-coding	244	true
316	AOX1	protein-coding	544	true
317	APAF1	protein-coding	863	true
318	NUDT2	protein-coding	876	true
319	APOF	protein-coding	739	true
320	APBA1	protein-coding	798	true
321	APBA2	protein-coding	555	true
322	APBB1	protein-coding	773	true
323	APBB2	protein-coding	789	true
324	APC	protein-coding	843	true
325	APCS	protein-coding	183	true
326	AIRE	protein-coding	742	true
327	APEH	protein-coding	725	true
328	APEX1	protein-coding	768	true
329	BIRC2	protein-coding	706	true
330	BIRC3	protein-coding	166	true
331	XIAP	protein-coding	819	true
332	BIRC5	protein-coding	789	true
333	APLP1	protein-coding	649	true
334	APLP2	protein-coding	867	true
335	APOA1	protein-coding	494	true
336	APOA2	protein-coding	377	true
337	APOA4	protein-coding	463	true
338	APOB	protein-coding	847	true
339	APOBEC1	protein-coding	311	true
341	APOC1	protein-coding	489	true
342	APOC1P1	pseudo	0	false
343	AQP8	protein-coding	547	true
344	APOC2	protein-coding	581	true
345	APOC3	protein-coding	418	true
346	APOC4	protein-coding	253	true
347	APOD	protein-coding	734	true
348	APOE	protein-coding	633	true
350	APOH	protein-coding	534	true
351	APP	protein-coding	838	true
353	APRT	protein-coding	858	true
354	KLK3	protein-coding	13	true
355	FAS	protein-coding	530	true
356	FASLG	protein-coding	822	true
357	SHROOM2	protein-coding	817	true
358	AQP1	protein-coding	550	true
359	AQP2	protein-coding	416	true
360	AQP3	protein-coding	450	true
361	AQP4	protein-coding	765	true
362	AQP5	protein-coding	405	true
363	AQP6	protein-coding	292	true
364	AQP7	protein-coding	567	true
366	AQP9	protein-coding	836	true
367	AR	protein-coding	729	true
368	ABCC6	protein-coding	441	true
369	ARAF	protein-coding	355	true
372	ARCN1	protein-coding	558	true
373	TRIM23	protein-coding	856	true
374	AREG	protein-coding	539	true
375	ARF1	protein-coding	815	true
377	ARF3	protein-coding	506	true
378	ARF4	protein-coding	548	true
379	ARL4D	protein-coding	658	true
380	ARF4P1	pseudo	0	false
381	ARF5	protein-coding	379	true
382	ARF6	protein-coding	807	true
383	ARG1	protein-coding	332	true
384	ARG2	protein-coding	860	true
387	RHOA	protein-coding	544	true
388	RHOB	protein-coding	492	true
389	RHOC	protein-coding	601	true
390	RND3	protein-coding	629	true
391	RHOG	protein-coding	761	true
392	ARHGAP1	protein-coding	850	true
393	ARHGAP4	protein-coding	344	true
394	ARHGAP5	protein-coding	858	true
395	ARHGAP6	protein-coding	550	true
396	ARHGDIA	protein-coding	820	true
397	ARHGDIB	protein-coding	556	true
398	ARHGDIG	protein-coding	466	true
399	RHOH	protein-coding	860	true
400	ARL1	protein-coding	858	true
401	PHOX2A	protein-coding	813	true
402	ARL2	protein-coding	737	true
403	ARL3	protein-coding	848	true
405	ARNT	protein-coding	776	true
406	BMAL1	protein-coding	566	true
407	ARR3	protein-coding	496	true
408	ARRB1	protein-coding	480	true
409	ARRB2	protein-coding	376	true
410	ARSA	protein-coding	826	true
411	ARSB	protein-coding	816	true
412	STS	protein-coding	728	true
414	ARSD	protein-coding	99	true
415	ARSL	protein-coding	183	true
416	ARSF	protein-coding	103	true
417	ART1	protein-coding	399	true
418	ART2P	pseudo	0	false
419	ART3	protein-coding	271	true
420	ART4	protein-coding	437	true
421	ARVCF	protein-coding	844	true
427	ASAH1	protein-coding	858	true
429	ASCL1	protein-coding	834	true
430	ASCL2	protein-coding	473	true
432	ASGR1	protein-coding	125	true
433	ASGR2	protein-coding	151	true
434	ASIP	protein-coding	775	true
435	ASL	protein-coding	726	true
436	ASLP1	pseudo	0	false
438	ASMT	protein-coding	471	true
439	GET3	protein-coding	773	true
440	ASNS	protein-coding	798	true
443	ASPA	protein-coding	872	true
444	ASPH	protein-coding	729	true
445	ASS1	protein-coding	873	true
447	ASS1P2	pseudo	0	false
449	ASS1P4	pseudo	0	false
450	ASS1P5	pseudo	0	false
451	ASS1P6	pseudo	0	false
453	ASS1P8	pseudo	0	false
454	ASS1P9	pseudo	0	false
455	ASS1P10	pseudo	0	false
459	ASS1P14	pseudo	0	false
460	ASTN1	protein-coding	851	true
462	SERPINC1	protein-coding	783	true
463	ZFHX3	protein-coding	856	true
466	ATF1	protein-coding	547	true
467	ATF3	protein-coding	861	true
468	ATF4	protein-coding	553	true
469	ATF4P1	pseudo	0	false
471	ATIC	protein-coding	874	true
472	ATM	protein-coding	863	true
473	RERE	protein-coding	546	true
474	ATOH1	protein-coding	811	true
475	ATOX1	protein-coding	827	true
476	ATP1A1	protein-coding	508	true
477	ATP1A2	protein-coding	150	true
478	ATP1A3	protein-coding	388	true
479	ATP12A	protein-coding	510	true
480	ATP1A4	protein-coding	109	true
481	ATP1B1	protein-coding	562	true
482	ATP1B2	protein-coding	405	true
483	ATP1B3	protein-coding	801	true
484	ATP1B3P1	pseudo	0	false
485	ATP1B1P1	pseudo	0	false
486	FXYD2	protein-coding	380	true
487	ATP2A1	protein-coding	671	true
488	ATP2A2	protein-coding	555	true
489	ATP2A3	protein-coding	819	true
490	ATP2B1	protein-coding	555	true
491	ATP2B2	protein-coding	833	true
492	ATP2B3	protein-coding	636	true
493	ATP2B4	protein-coding	510	true
495	ATP4A	protein-coding	442	true
496	ATP4B	protein-coding	555	true
498	ATP5F1A	protein-coding	848	true
501	ALDH7A1	protein-coding	875	true
504	ATP5F1AP2	pseudo	0	false
506	ATP5F1B	protein-coding	766	true
507	ATP5F1BP1	pseudo	0	false
509	ATP5F1C	protein-coding	852	true
513	ATP5F1D	protein-coding	851	true
514	ATP5F1E	protein-coding	768	true
515	ATP5PB	protein-coding	851	true
516	ATP5MC1	protein-coding	759	true
517	ATP5MC2	protein-coding	478	true
518	ATP5MC3	protein-coding	828	true
520	ATP5MC2P1	pseudo	0	false
521	ATP5ME	protein-coding	478	true
522	ATP5PF	protein-coding	863	true
523	ATP6V1A	protein-coding	863	true
525	ATP6V1B1	protein-coding	503	true
526	ATP6V1B2	protein-coding	535	true
527	ATP6V0C	protein-coding	856	true
528	ATP6V1C1	protein-coding	706	true
529	ATP6V1E1	protein-coding	828	true
533	ATP6V0B	protein-coding	860	true
534	ATP6V1G2	protein-coding	357	true
535	ATP6V0A1	protein-coding	556	true
537	ATP6AP1	protein-coding	509	true
538	ATP7A	protein-coding	547	true
539	ATP5PO	protein-coding	855	true
540	ATP7B	protein-coding	812	true
541	ALDH7A1P1	pseudo	0	false
542	ALDH7A1P2	pseudo	0	false
543	ALDH7A1P3	pseudo	0	false
544	ALDH7A1P4	pseudo	0	false
545	ATR	protein-coding	873	true
546	ATRX	protein-coding	853	true
547	KIF1A	protein-coding	542	true
549	AUH	protein-coding	857	true
550	AUP1	protein-coding	851	true
551	AVP	protein-coding	246	true
552	AVPR1A	protein-coding	530	true
553	AVPR1B	protein-coding	543	true
554	AVPR2	protein-coding	352	true
558	AXL	protein-coding	684	true
563	AZGP1	protein-coding	178	true
566	AZU1	protein-coding	124	true
567	B2M	protein-coding	491	true
570	BAAT	protein-coding	217	true
571	BACH1	protein-coding	759	true
572	BAD	protein-coding	385	true
573	BAG1	protein-coding	868	true
575	ADGRB1	protein-coding	793	true
576	ADGRB2	protein-coding	817	true
577	ADGRB3	protein-coding	844	true
578	BAK1	protein-coding	554	true
579	NKX3-2	protein-coding	838	true
580	BARD1	protein-coding	861	true
581	BAX	protein-coding	389	true
582	BBS1	protein-coding	700	true
583	BBS2	protein-coding	873	true
585	BBS4	protein-coding	871	true
586	BCAT1	protein-coding	812	true
587	BCAT2	protein-coding	325	true
590	BCHE	protein-coding	559	true
593	BCKDHA	protein-coding	779	true
594	BCKDHB	protein-coding	862	true
595	CCND1	protein-coding	832	true
596	BCL2	protein-coding	808	true
597	BCL2A1	protein-coding	500	true
598	BCL2L1	protein-coding	846	true
599	BCL2L2	protein-coding	111	true
600	BAK1P1	pseudo	0	false
601	BAK1P2	pseudo	0	false
602	BCL3	protein-coding	395	true
604	BCL6	protein-coding	848	true
605	BCL7A	protein-coding	839	true
606	NBEAP1	pseudo	0	false
607	BCL9	protein-coding	835	true
608	TNFRSF17	protein-coding	574	true
610	HCN2	protein-coding	821	true
611	OPN1SW	protein-coding	661	true
613	BCR	protein-coding	550	true
616	BCRP4	pseudo	0	false
617	BCS1L	protein-coding	878	true
618	BCYRN1	ncRNA	0	false
619	BCYRN1P1	pseudo	0	false
622	BDH1	protein-coding	822	true
623	BDKRB1	protein-coding	418	true
624	BDKRB2	protein-coding	483	true
627	BDNF	protein-coding	857	true
629	CFB	protein-coding	357	true
631	BFSP1	protein-coding	862	true
632	BGLAP	protein-coding	759	true
633	BGN	protein-coding	646	true
634	CEACAM1	protein-coding	104	true
635	BHMT	protein-coding	199	true
636	BICD1	protein-coding	844	true
637	BID	protein-coding	537	true
638	BIK	protein-coding	224	true
639	PRDM1	protein-coding	835	true
640	BLK	protein-coding	543	true
641	BLM	protein-coding	864	true
642	BLMH	protein-coding	852	true
643	CXCR5	protein-coding	822	true
644	BLVRA	protein-coding	842	true
645	BLVRB	protein-coding	738	true
646	BNC1	protein-coding	850	true
648	BMI1	protein-coding	726	true
649	BMP1	protein-coding	798	true
650	BMP2	protein-coding	635	true
651	BMP3	protein-coding	854	true
652	BMP4	protein-coding	850	true
653	BMP5	protein-coding	867	true
654	BMP6	protein-coding	869	true
655	BMP7	protein-coding	834	true
656	BMP8B	protein-coding	111	true
657	BMPR1A	protein-coding	559	true
658	BMPR1B	protein-coding	561	true
659	BMPR2	protein-coding	689	true
660	BMX	protein-coding	457	true
661	POLR3D	protein-coding	826	true
662	BNIP1	protein-coding	561	true
663	BNIP2	protein-coding	855	true
664	BNIP3	protein-coding	657	true
665	BNIP3L	protein-coding	549	true
666	BOK	protein-coding	858	true
667	DST	protein-coding	799	true
668	FOXL2	protein-coding	823	true
669	BPGM	protein-coding	857	true
670	BPHL	protein-coding	818	true
671	BPI	protein-coding	277	true
672	BRCA1	protein-coding	558	true
673	BRAF	protein-coding	854	true
675	BRCA2	protein-coding	858	true
676	BRDT	protein-coding	528	true
677	ZFP36L1	protein-coding	521	true
678	ZFP36L2	protein-coding	812	true
680	BRS3	protein-coding	544	true
682	BSG	protein-coding	855	true
683	BST1	protein-coding	388	true
684	BST2	protein-coding	222	true
685	BTC	protein-coding	523	true
686	BTD	protein-coding	792	true
687	KLF9	protein-coding	833	true
688	KLF5	protein-coding	560	true
689	BTF3	protein-coding	859	true
690	BTF3P11	pseudo	0	false
693	BTF3P1	pseudo	0	false
694	BTG1	protein-coding	550	true
695	BTK	protein-coding	858	true
696	BTN1A1	protein-coding	227	true
699	BUB1	protein-coding	841	true
701	BUB1B	protein-coding	867	true
705	BYSL	protein-coding	876	true
706	TSPO	protein-coding	842	true
708	C1QBP	protein-coding	873	true
710	SERPING1	protein-coding	757	true
711	ERC2-IT1	ncRNA	0	false
712	C1QA	protein-coding	625	true
713	C1QB	protein-coding	516	true
714	C1QC	protein-coding	472	true
715	C1R	protein-coding	579	true
716	C1S	protein-coding	534	true
717	C2	protein-coding	299	true
718	C3	protein-coding	401	true
719	C3AR1	protein-coding	474	true
720	C4A	protein-coding	84	true
721	C4B	protein-coding	8	true
722	C4BPA	protein-coding	189	true
724	C4BPAP2	pseudo	0	false
725	C4BPB	protein-coding	269	true
726	CAPN5	protein-coding	743	true
727	C5	protein-coding	802	true
728	C5AR1	protein-coding	373	true
729	C6	protein-coding	513	true
730	C7	protein-coding	554	true
731	C8A	protein-coding	866	true
732	C8B	protein-coding	752	true
733	C8G	protein-coding	826	true
734	OSGIN2	protein-coding	859	true
735	C9	protein-coding	813	true
738	VPS51	protein-coding	843	true
740	MRPL49	protein-coding	749	true
741	ZNHIT2	protein-coding	760	true
744	MPPED2	protein-coding	615	true
745	MYRF	protein-coding	869	true
746	TMEM258	protein-coding	847	true
747	DAGLA	protein-coding	864	true
750	GAS8-AS1	ncRNA	0	false
752	FMNL1	protein-coding	541	true
753	LDLRAD4	protein-coding	647	true
754	PTTG1IP	protein-coding	552	true
755	CFAP410	protein-coding	872	true
757	TMEM50B	protein-coding	555	true
758	MPPED1	protein-coding	778	true
759	CA1	protein-coding	213	true
760	CA2	protein-coding	283	true
761	CA3	protein-coding	290	true
762	CA4	protein-coding	536	true
763	CA5A	protein-coding	836	true
764	CA5AP1	pseudo	0	false
765	CA6	protein-coding	510	true
766	CA7	protein-coding	848	true
767	CA8	protein-coding	847	true
768	CA9	protein-coding	442	true
770	CA11	protein-coding	327	true
771	CA12	protein-coding	854	true
773	CACNA1A	protein-coding	454	true
774	CACNA1B	protein-coding	504	true
775	CACNA1C	protein-coding	822	true
776	CACNA1D	protein-coding	804	true
777	CACNA1E	protein-coding	796	true
778	CACNA1F	protein-coding	422	true
779	CACNA1S	protein-coding	537	true
780	DDR1	protein-coding	411	true
781	CACNA2D1	protein-coding	549	true
782	CACNB1	protein-coding	799	true
783	CACNB2	protein-coding	560	true
784	CACNB3	protein-coding	512	true
785	CACNB4	protein-coding	831	true
786	CACNG1	protein-coding	560	true
788	SLC25A20	protein-coding	790	true
789	SLC25A20P1	pseudo	0	false
790	CAD	protein-coding	831	true
793	CALB1	protein-coding	684	true
794	CALB2	protein-coding	815	true
795	S100G	protein-coding	313	true
796	CALCA	protein-coding	71	true
797	CALCB	protein-coding	296	true
798	CALCP	pseudo	0	false
799	CALCR	protein-coding	852	true
800	CALD1	protein-coding	553	true
801	CALM1	protein-coding	541	true
802	CALM1P1	pseudo	0	false
804	CALM1P2	pseudo	0	false
805	CALM2	protein-coding	611	true
806	CALM2P2	pseudo	0	false
807	CALM2P3	pseudo	0	false
808	CALM3	protein-coding	625	true
810	CALML3	protein-coding	136	true
811	CALR	protein-coding	709	true
813	CALU	protein-coding	517	true
814	CAMK4	protein-coding	658	true
815	CAMK2A	protein-coding	549	true
816	CAMK2B	protein-coding	512	true
817	CAMK2D	protein-coding	543	true
818	CAMK2G	protein-coding	782	true
819	CAMLG	protein-coding	872	true
820	CAMP	protein-coding	264	true
821	CANX	protein-coding	856	true
822	CAPG	protein-coding	487	true
823	CAPN1	protein-coding	735	true
824	CAPN2	protein-coding	421	true
825	CAPN3	protein-coding	843	true
826	CAPNS1	protein-coding	397	true
827	CAPN6	protein-coding	512	true
828	CAPS	protein-coding	337	true
829	CAPZA1	protein-coding	792	true
830	CAPZA2	protein-coding	548	true
831	CAST	protein-coding	857	true
832	CAPZB	protein-coding	874	true
833	CARS1	protein-coding	850	true
834	CASP1	protein-coding	105	true
835	CASP2	protein-coding	847	true
836	CASP3	protein-coding	654	true
837	CASP4	protein-coding	27	true
838	CASP5	protein-coding	14	true
839	CASP6	protein-coding	517	true
840	CASP7	protein-coding	857	true
841	CASP8	protein-coding	361	true
842	CASP9	protein-coding	848	true
843	CASP10	protein-coding	355	true
844	CASQ1	protein-coding	434	true
845	CASQ2	protein-coding	522	true
846	CASR	protein-coding	858	true
847	CAT	protein-coding	819	true
857	CAV1	protein-coding	845	true
858	CAV2	protein-coding	857	true
859	CAV3	protein-coding	799	true
860	RUNX2	protein-coding	764	true
861	RUNX1	protein-coding	536	true
862	RUNX1T1	protein-coding	855	true
863	CBFA2T3	protein-coding	823	true
864	RUNX3	protein-coding	851	true
865	CBFB	protein-coding	855	true
866	SERPINA6	protein-coding	195	true
867	CBL	protein-coding	859	true
868	CBLB	protein-coding	799	true
869	CBLN1	protein-coding	810	true
871	SERPINH1	protein-coding	843	true
873	CBR1	protein-coding	308	true
874	CBR3	protein-coding	143	true
875	CBS	protein-coding	460	true
881	CCIN	protein-coding	361	true
883	KYAT1	protein-coding	730	true
885	CCK	protein-coding	732	true
886	CCKAR	protein-coding	858	true
887	CCKBR	protein-coding	504	true
889	KRIT1	protein-coding	862	true
890	CCNA2	protein-coding	855	true
891	CCNB1	protein-coding	739	true
892	CCNC	protein-coding	875	true
894	CCND2	protein-coding	511	true
895	CCND2P1	pseudo	0	false
896	CCND3	protein-coding	821	true
897	CCND3P1	pseudo	0	false
898	CCNE1	protein-coding	866	true
899	CCNF	protein-coding	865	true
900	CCNG1	protein-coding	851	true
901	CCNG2	protein-coding	855	true
902	CCNH	protein-coding	865	true
904	CCNT1	protein-coding	531	true
905	CCNT2	protein-coding	561	true
908	CCT6A	protein-coding	503	true
909	CD1A	protein-coding	26	true
910	CD1B	protein-coding	31	true
911	CD1C	protein-coding	35	true
912	CD1D	protein-coding	119	true
913	CD1E	protein-coding	76	true
914	CD2	protein-coding	500	true
915	CD3D	protein-coding	356	true
916	CD3E	protein-coding	554	true
917	CD3G	protein-coding	275	true
919	CD247	protein-coding	550	true
920	CD4	protein-coding	448	true
921	CD5	protein-coding	715	true
922	CD5L	protein-coding	246	true
923	CD6	protein-coding	490	true
924	CD7	protein-coding	370	true
925	CD8A	protein-coding	483	true
926	CD8B	protein-coding	490	true
927	CD8B2	protein-coding	0	false
928	CD9	protein-coding	838	true
929	CD14	protein-coding	479	true
930	CD19	protein-coding	345	true
931	MS4A1	protein-coding	224	true
932	MS4A3	protein-coding	181	true
933	CD22	protein-coding	328	true
935	CD24P1	pseudo	0	false
936	CD24P2	pseudo	0	false
937	CD24P3	pseudo	0	false
938	CD24P4	pseudo	0	false
939	CD27	protein-coding	270	true
940	CD28	protein-coding	541	true
941	CD80	protein-coding	432	true
942	CD86	protein-coding	455	true
943	TNFRSF8	protein-coding	468	true
944	TNFSF8	protein-coding	485	true
945	CD33	protein-coding	43	true
946	SIGLEC6	protein-coding	19	true
947	CD34	protein-coding	546	true
948	CD36	protein-coding	794	true
949	SCARB1	protein-coding	845	true
950	SCARB2	protein-coding	854	true
951	CD37	protein-coding	392	true
952	CD38	protein-coding	356	true
953	ENTPD1	protein-coding	844	true
954	ENTPD2	protein-coding	545	true
955	ENTPD6	protein-coding	815	true
956	ENTPD3	protein-coding	834	true
957	ENTPD5	protein-coding	845	true
958	CD40	protein-coding	545	true
959	CD40LG	protein-coding	820	true
960	CD44	protein-coding	554	true
961	CD47	protein-coding	512	true
962	CD48	protein-coding	291	true
963	CD53	protein-coding	301	true
965	CD58	protein-coding	377	true
966	CD59	protein-coding	590	true
967	CD63	protein-coding	499	true
968	CD68	protein-coding	350	true
969	CD69	protein-coding	181	true
970	CD70	protein-coding	256	true
971	CD72	protein-coding	369	true
972	CD74	protein-coding	716	true
973	CD79A	protein-coding	719	true
974	CD79B	protein-coding	534	true
975	CD81	protein-coding	680	true
976	ADGRE5	protein-coding	358	true
977	CD151	protein-coding	808	true
978	CDA	protein-coding	553	true
983	CDK1	protein-coding	851	true
984	CDK11B	protein-coding	408	true
987	LRBA	protein-coding	848	true
988	CDC5L	protein-coding	857	true
989	SEPTIN7	protein-coding	662	true
990	CDC6	protein-coding	836	true
991	CDC20	protein-coding	843	true
993	CDC25A	protein-coding	540	true
994	CDC25B	protein-coding	757	true
995	CDC25C	protein-coding	372	true
996	CDC27	protein-coding	852	true
997	CDC34	protein-coding	543	true
998	CDC42	protein-coding	788	true
999	CDH1	protein-coding	344	true
1000	CDH2	protein-coding	806	true
1001	CDH3	protein-coding	308	true
1002	CDH4	protein-coding	533	true
1003	CDH5	protein-coding	822	true
